Botiga;m2;Ubi;PreuAm2;PreuDm2;AugmentFact
1;404;1;13;11;-3
2;120;1;15;14;-6
3;378;2;16;16;-4
4;351;1;15;13;-11
5;473;1;15;14;10
6;373;3;13;13;-10
7;478;3;13;14;-8
8;368;1;16;18;-5
9;154;2;16;15;-12
10;159;1;14;15;7
11;415;2;13;12;0
12;362;3;15;13;-5
13;375;2;13;12;5
14;245;1;14;12;-2
15;244;2;16;18;-4
16;461;1;13;13;-3
17;225;3;14;14;-9
18;450;3;13;15;-19
19;195;2;16;18;1
20;153;2;14;13;2
21;343;3;16;15;-10
22;304;2;12;13;-3
23;483;1;15;15;4
24;423;1;14;14;-16
25;245;3;15;14;8
26;276;1;12;13;-20
27;311;2;16;16;-4
28;221;3;16;14;-18
29;498;1;13;13;-5
30;379;1;14;12;29
31;309;1;15;15;14
32;115;1;14;15;6
33;201;3;14;15;-2
34;184;3;15;15;0
35;477;2;14;14;-4
36;186;2;12;12;2
37;386;2;14;15;8
38;473;1;14;16;27
39;423;3;11;9;20
40;185;2;8;9;14
41;400;1;11;13;9
42;183;1;8;8;-4
43;443;1;12;10;16
44;383;3;13;14;5
45;393;2;8;8;-1
46;158;1;12;10;24
47;493;2;13;15;19
48;127;2;8;8;-5
49;463;2;11;11;5
50;447;2;11;13;26
51;162;1;11;11;16
52;292;1;9;11;28
53;229;1;9;9;27
54;250;2;9;8;5
55;223;4;10;8;23
56;234;4;10;11;-1
57;481;5;9;7;6
58;294;5;11;12;30
59;424;4;13;13;0
60;336;2;12;14;30
61;141;5;9;11;5
62;418;4;11;13;30
63;177;4;10;12;27
64;168;3;11;10;11
65;239;1;8;7;20
66;496;3;8;10;16
67;358;5;12;10;26
68;241;1;11;9;30
69;251;5;11;13;15
70;213;1;10;10;-3
71;225;2;8;8;30
72;186;4;13;12;9
73;343;1;10;11;24
74;398;2;10;9;30
75;169;2;12;14;19
76;281;4;12;13;4
77;178;2;8;9;2
78;374;1;8;7;26
79;144;2;10;8;8
80;261;1;10;12;0
81;157;3;10;11;3
82;424;5;12;14;8
83;343;2;11;12;-1
84;238;3;11;13;20
85;485;5;10;9;-4
86;244;5;8;9;23
87;500;3;11;12;-5
88;356;2;11;11;25
89;120;3;10;10;12
90;147;1;10;8;-5
91;478;2;10;9;25
92;487;4;10;10;28
93;232;2;12;14;29
94;237;3;8;8;21
95;373;3;9;11;26
96;382;1;8;8;-2
97;250;2;10;9;-4
98;276;3;10;9;2
99;432;1;11;11;15
