Botiga;m2;Ubi;PreuAm2;PreuDm2;AugmentFact
1;307;3;15;14;-16
2;406;1;14;14;-3
3;227;3;15;13;-17
4;342;1;16;16;-19
5;335;1;13;12;-6
6;209;2;14;15;-9
7;135;1;12;13;-20
8;405;3;14;13;-7
9;395;1;12;11;-16
10;154;3;16;15;-1
11;162;2;15;14;-20
12;317;3;12;14;-15
13;245;1;12;10;-2
14;170;3;12;12;-14
15;457;1;13;14;8
16;357;1;14;15;9
17;454;1;15;15;3
18;441;3;13;11;5
19;141;1;16;18;3
20;344;2;16;16;-11
21;133;1;14;13;-12
22;126;2;13;15;9
23;463;3;12;11;4
24;286;2;12;13;7
25;475;1;12;14;-11
26;192;3;14;14;4
27;316;3;15;17;0
28;444;1;16;16;10
29;134;3;12;11;25
30;338;2;14;13;7
31;251;3;13;15;24
32;496;3;14;16;-4
33;377;3;13;15;3
34;128;2;16;16;25
35;273;2;14;15;27
36;244;1;15;14;5
37;232;3;13;11;-4
38;228;1;12;13;12
39;324;2;9;9;5
40;415;1;12;12;8
41;331;2;9;7;26
42;387;3;8;6;24
43;314;1;9;9;11
44;435;1;12;11;29
45;230;1;8;6;18
46;447;2;10;12;10
47;349;1;12;11;21
48;270;3;8;7;18
49;475;1;11;13;2
50;151;3;9;8;6
51;159;1;11;9;21
52;243;4;11;9;21
53;232;2;8;9;14
54;218;2;8;7;20
55;275;4;9;10;-2
56;162;3;11;13;1
57;242;1;13;15;12
58;146;5;13;11;30
59;459;2;11;11;24
60;393;5;10;9;5
61;340;3;8;7;14
62;265;1;11;12;-4
63;253;3;10;11;20
64;327;3;12;11;17
65;334;2;8;6;26
66;461;5;12;14;23
67;110;3;13;11;29
68;494;2;13;13;7
69;166;3;10;12;5
70;402;5;10;10;-2
71;106;1;9;11;14
72;388;1;13;13;27
73;270;2;12;13;2
74;386;4;9;7;8
75;463;4;8;8;16
76;323;5;12;12;28
77;411;5;12;10;23
78;399;4;8;10;26
79;430;4;12;10;14
80;377;3;8;10;27
81;304;1;8;9;2
82;496;3;11;11;9
83;280;2;12;11;21
84;323;1;10;12;19
85;112;2;9;8;24
86;153;3;12;11;3
87;269;1;10;11;-2
88;110;4;12;10;-1
89;390;4;12;12;-1
90;228;3;10;11;5
91;299;1;10;9;10
92;316;4;8;7;22
93;364;2;8;7;6
94;369;4;8;8;7
95;328;5;9;8;19
96;244;3;10;8;20
97;380;5;9;10;1
98;229;2;11;10;7
99;215;1;13;13;7
