Botiga;m2;Ubi;PreuAm2;PreuDm2;AugmentFact
1;165;1;12;10;1
2;310;1;16;18;0
3;250;1;15;13;9
4;357;2;13;14;-10
5;397;3;16;14;-13
6;220;1;16;18;7
7;404;1;13;15;5
8;444;1;15;13;5
9;342;3;15;13;-7
10;375;1;14;13;3
11;173;3;14;16;-13
12;202;1;12;10;-11
13;263;1;12;10;-17
14;322;3;15;16;8
15;181;1;16;15;-2
16;265;3;12;13;-2
17;200;3;12;10;-4
18;312;1;14;13;10
19;164;2;15;16;2
20;469;3;15;15;9
21;415;1;14;13;-1
22;277;2;13;11;-1
23;153;1;13;11;6
24;191;1;16;15;-3
25;223;2;15;13;-3
26;291;2;14;13;-7
27;100;2;12;11;-5
28;448;3;14;13;-5
29;220;3;16;15;29
30;337;3;14;12;-3
31;256;2;14;14;2
32;146;1;16;18;26
33;436;2;14;15;18
34;289;3;15;16;2
35;119;3;14;14;6
36;202;3;15;13;12
37;440;1;16;16;-5
38;408;1;16;18;1
39;277;2;9;8;10
40;170;3;13;11;22
41;403;3;11;10;1
42;288;2;10;8;22
43;443;2;12;10;-3
44;319;3;11;11;-4
45;488;1;10;12;26
46;293;1;8;7;8
47;114;1;10;8;28
48;319;2;9;7;1
49;453;3;8;10;22
50;324;1;11;11;12
51;362;3;13;14;26
52;443;1;9;9;28
53;349;5;12;12;22
54;341;4;9;10;11
55;323;2;12;13;13
56;426;4;8;9;1
57;108;4;10;12;22
58;255;1;8;8;5
59;203;2;9;9;19
60;290;1;11;9;7
61;202;5;11;13;26
62;314;1;12;12;-2
63;306;1;10;8;-4
64;420;1;9;7;26
65;261;3;11;11;19
66;328;2;10;9;0
67;413;4;10;12;30
68;423;1;8;8;25
69;211;3;8;10;0
70;183;2;13;15;11
71;384;2;10;11;5
72;446;2;13;15;22
73;202;5;9;10;29
74;450;4;12;12;13
75;240;2;13;15;4
76;302;3;10;8;17
77;150;1;8;6;-5
78;471;5;13;12;5
79;378;2;13;14;11
80;438;1;8;10;7
81;159;2;9;8;17
82;419;4;8;10;29
83;391;1;8;8;25
84;407;1;13;12;16
85;363;3;11;9;25
86;315;5;8;10;3
87;113;2;12;11;0
88;235;3;9;8;28
89;421;2;10;11;-3
90;422;4;8;8;4
91;380;1;8;8;29
92;500;5;8;10;20
93;206;1;11;11;2
94;452;5;10;12;-3
95;496;5;9;7;7
96;196;3;13;13;11
97;285;1;11;9;28
98;329;5;9;11;13
99;197;2;12;10;30
